epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1633.65,1.33643,1.15789,1.37654,0.73785,0.73374,0.66782,0.34038,1.4523,1.18025,1.46717,0.0005941,0.0005941,0.0005941
43,1670.7,1.32978,1.15607,1.36825,0.77818,0.72222,0.67441,0.34454,1.46522,1.16195,1.46491,0.0005842,0.0005842,0.0005842
44,1709.26,1.33026,1.17483,1.37142,0.75372,0.7324,0.65709,0.32578,1.45236,1.19166,1.46057,0.0005743,0.0005743,0.0005743
45,1747.57,1.31481,1.14895,1.35738,0.70671,0.75214,0.67029,0.32943,1.48612,1.23776,1.46976,0.0005644,0.0005644,0.0005644
46,1786.19,1.32422,1.15701,1.37296,0.70606,0.74359,0.64745,0.30759,1.45112,1.29608,1.47006,0.0005545,0.0005545,0.0005545
47,1824.94,1.30804,1.13525,1.38171,0.75073,0.73504,0.67801,0.3217,1.52068,1.19498,1.50662,0.0005446,0.0005446,0.0005446
48,1862.83,1.29613,1.12967,1.36582,0.75314,0.70404,0.6794,0.34613,1.46551,1.13514,1.46605,0.0005347,0.0005347,0.0005347
49,1899.76,1.29058,1.10461,1.34458,0.77713,0.68803,0.68631,0.3423,1.46575,1.20526,1.48554,0.0005248,0.0005248,0.0005248
50,1937.98,1.3144,1.1053,1.35968,0.72035,0.74786,0.6813,0.35717,1.43812,1.14141,1.466,0.0005149,0.0005149,0.0005149
51,1975.56,1.28251,1.09955,1.34803,0.78353,0.71154,0.67001,0.33253,1.48904,1.17508,1.46571,0.000505,0.000505,0.000505
52,2012.91,1.28304,1.09967,1.33847,0.73008,0.76068,0.67647,0.34054,1.44389,1.13081,1.45204,0.0004951,0.0004951,0.0004951
53,2052.92,1.27025,1.11693,1.33629,0.76249,0.69969,0.6949,0.34641,1.52512,1.1192,1.49579,0.0004852,0.0004852,0.0004852
54,2090.78,1.2697,1.07703,1.33182,0.80518,0.66667,0.67794,0.3483,1.46621,1.11684,1.4827,0.0004753,0.0004753,0.0004753
55,2127.2,1.27275,1.06249,1.32078,0.74424,0.74359,0.66212,0.33961,1.40284,1.11585,1.44465,0.0004654,0.0004654,0.0004654
56,2165.77,1.26775,1.05822,1.32259,0.77039,0.73128,0.68841,0.34759,1.38377,1.13192,1.40826,0.0004555,0.0004555,0.0004555
57,2202.63,1.23942,1.0198,1.3199,0.79671,0.70085,0.69621,0.35222,1.46678,1.13805,1.47397,0.0004456,0.0004456,0.0004456
58,2239.74,1.26071,1.03879,1.32653,0.7497,0.73077,0.6664,0.34798,1.43484,1.12992,1.46106,0.0004357,0.0004357,0.0004357
59,2277.94,1.25538,1.02934,1.32973,0.76078,0.73504,0.69657,0.34128,1.42055,1.14918,1.46154,0.0004258,0.0004258,0.0004258
60,2314.61,1.24716,1.05176,1.3155,0.80799,0.70136,0.69341,0.34865,1.41704,1.08588,1.45886,0.0004159,0.0004159,0.0004159
61,2353.93,1.24282,1.01047,1.30655,0.774,0.73932,0.70322,0.36144,1.4457,1.08419,1.46331,0.000406,0.000406,0.000406
62,2392.55,1.23816,1.03454,1.32737,0.77362,0.74786,0.68279,0.34037,1.45713,1.13685,1.48027,0.0003961,0.0003961,0.0003961
63,2429.17,1.25132,0.99598,1.30106,0.804,0.70085,0.69316,0.34328,1.48287,1.11675,1.47867,0.0003862,0.0003862,0.0003862
64,2468.11,1.2262,0.97821,1.29135,0.78477,0.73236,0.70339,0.36408,1.39903,1.07991,1.41792,0.0003763,0.0003763,0.0003763
65,2507.54,1.2424,0.99667,1.30551,0.7839,0.73077,0.6887,0.35352,1.44147,1.0747,1.44062,0.0003664,0.0003664,0.0003664
66,2545.35,1.22024,0.99588,1.30047,0.79922,0.73149,0.69467,0.36096,1.42803,1.07904,1.44564,0.0003565,0.0003565,0.0003565
